"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestDisenrollMFA_Admin_SuccessNoPasswordSSO","744","TestDisenrollMFA_Admin_SuccessNoPasswordSSO","","Sat Jan 17 00:42:24 UTC 2026","passed","Sat Jan 17 00:42:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Admin_SuccessNoPasswordSSO","TestDisenrollMFA_Admin_SuccessNoPasswordSSO"
"Test cases for TestCreateUser_Failure","0","TestCreateUser_Failure","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestCreateUser_Failure","TestCreateUser_Failure"
"Test cases for TestParseAGMembersFromNodes_MissingNodeProperties","0","TestParseAGMembersFromNodes_MissingNodeProperties","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseAGMembersFromNodes_MissingNodeProperties","TestParseAGMembersFromNodes_MissingNodeProperties"
"","398","renders a list of pre-built searches","PrebuiltSearchList","Sat Jan 17 00:45:29 UTC 2026","passed","Sat Jan 17 00:45:30 UTC 2026","","","",""
"","120","renders enabled prop when flag is enabled","FeatureFlag","Sat Jan 17 00:45:59 UTC 2026","passed","Sat Jan 17 00:45:59 UTC 2026","","","",""
"Test cases for TestTextUnmarshalInt64","0","TestTextUnmarshalInt64","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTextUnmarshalInt64","TestTextUnmarshalInt64"
"Test cases for TestInt64From","0","TestInt64From","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64From","TestInt64From"
"Test cases for TestResources_ExportSavedQueries","24","TestResources_ExportSavedQueries","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ExportSavedQueries","TestResources_ExportSavedQueries"
"Test cases for TestDomainSelectors_GetFilterCriteria_Success","0","TestDomainSelectors_GetFilterCriteria_Success","","Sat Jan 17 00:41:59 UTC 2026","passed","Sat Jan 17 00:41:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_Success","TestDomainSelectors_GetFilterCriteria_Success"
"","7","when password is not expired no redirect occurs","AuthenticatedRoute","Sat Jan 17 00:48:01 UTC 2026","passed","Sat Jan 17 00:48:01 UTC 2026","","","",""
"Test cases for TestManagementResource_CreateOIDCProvider","1","TestManagementResource_CreateOIDCProvider","","Sat Jan 17 00:42:29 UTC 2026","passed","Sat Jan 17 00:42:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_CreateOIDCProvider","TestManagementResource_CreateOIDCProvider"
"","294","should disable Cancel and Save buttons while isLoading is true","UpdateUserDialog","Sat Jan 17 00:43:22 UTC 2026","passed","Sat Jan 17 00:43:22 UTC 2026","","","",""
"","87","renders a ListItemActionMenu component","ListItemActionMenu","Sat Jan 17 00:45:36 UTC 2026","passed","Sat Jan 17 00:45:36 UTC 2026","","","",""
"Test cases for TestResources_ListAuditLogs_OnlyOffset","0","TestResources_ListAuditLogs_OnlyOffset","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_OnlyOffset","TestResources_ListAuditLogs_OnlyOffset"
"Test cases for TestResources_CypherQuery","125","TestResources_CypherQuery","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CypherQuery","TestResources_CypherQuery"
"","65","should render a Field when the provided value is false","Field","Sat Jan 17 00:46:34 UTC 2026","passed","Sat Jan 17 00:46:34 UTC 2026","","","",""
"Test cases for TestResources_GetEdgeComposition","93","TestResources_GetEdgeComposition","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetEdgeComposition","TestResources_GetEdgeComposition"
"","1","lastlogon, lastlogontimestamp","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Sat Jan 17 00:44:01 UTC 2026","passed","Sat Jan 17 00:44:01 UTC 2026","","","",""
